source,target,relationship,description,strength
孙悟空,众仙,同门关系,孙悟空在菩提祖师门下与其他众仙一同修炼，他们之间有同门之谊。,6.5
孙悟空,大众,领袖关系,孙悟空是美猴王，是花果山众猴的领袖。,7.5
孙悟空,众猴,领袖关系,孙悟空是花果山众猴的领袖。,7.5
孙悟空,天罡数,修炼关系,孙悟空学习了天罡数，这是他七十二变变化中的三十六变。,6.0
孙悟空,地煞数,修炼关系,孙悟空学习了地煞数，这是他七十二变变化中的七十二变。,6.0
孙悟空,东海,出生地关系,孙悟空出生于东海，东海是他的家乡所在地。,7.0
孙悟空,西海,游历地关系,孙悟空曾游历过西海。,6.0
孙悟空,南海,游历地关系,孙悟空曾游历过南海。,6.0
孙悟空,北海,游历地关系,孙悟空曾游历过北海。,6.0
孙悟空,苍梧,游历地关系,孙悟空曾游历过苍梧。,6.0
孙悟空,直北下,遇见地关系,孙悟空在直北下遇见了混世魔王。,6.0
孙悟空,花果山,出生地关系,孙悟空出生于花果山，这是他的出生地和根据地。,7.0
孙悟空,水帘洞,洞府关系,水帘洞是孙悟空的洞府，位于花果山。,7.0
孙悟空,三星洞,修炼地关系,孙悟空在三星洞学习道法。,6.0
孙悟空,烂桃山,游历地关系,孙悟空曾游历过烂桃山，并在此地吃桃。,6.0
孙悟空,九幽之处,贬谪地关系,孙悟空如说出自己的师傅，就会被贬到九幽之处。,6.0
孙悟空,南赡部洲,游历地关系,孙悟空曾游历过南赡部洲。,6.0
孙悟空,西牛贺洲,游历地关系,孙悟空曾游历过西牛贺洲。,6.0
美猴王,混世魔王,敌对关系,美猴王荣归故里，自剿了混世魔王，因此他们之间存在敌对关系。,7.0
美猴王,赤尻马猴,朋友关系,美猴王与赤尻马猴是花果山的朋友，共同玩耍和操练武艺。,7.5
美猴王,通背猿猴,朋友关系,美猴王与通背猿猴是花果山的朋友，共同玩耍和操练武艺。,7.5
美猴王,敖广,求助关系,美猴王在花果山寻找兵器时，曾向东海龙王敖广求助。,6.5
美猴王,敖钦,求助关系,美猴王在花果山寻找兵器时，曾向南海龙王敖钦求助。,6.5
美猴王,敖顺,求助关系,美猴王在花果山寻找兵器时，曾向北海龙王敖顺求助。,6.5
美猴王,敖闰,求助关系,美猴王在花果山寻找兵器时，曾向西海龙王敖闰求助。,6.5
美猴王,十代冥王,冲突关系,美猴王挑战了阴间的十代冥王，因此他们之间存在冲突关系。,7.0
美猴王,地藏王菩萨,求助关系,美猴王曾向地藏王菩萨求助。,6.0
美猴王,玉皇大帝,挑战关系,美猴王挑战了天界的最高统治者玉皇大帝，因此他们之间存在挑战关系。,7.0
美猴王,太白金星,招安关系,美猴王被天界的仙人太白金星招安。,6.0
美猴王,邱弘济真人,报告关系,邱弘济真人向玉皇大帝报告了孙悟空的情况。,5.0
美猴王,葛仙翁天师,报告关系,葛仙翁天师向玉皇大帝报告了孙悟空的情况。,5.0
美猴王,文曲星官,撰写关系,文曲星官负责撰写招安圣旨。,5.0
美猴王,顺风耳,报告关系,顺风耳向玉皇大帝报告了孙悟空的情况。,5.0
美猴王,千里眼,报告关系,千里眼向玉皇大帝报告了孙悟空的情况。,5.0
美猴王,金鼓,地点关系,金鼓是花果山上的兵器库，美猴王在此处寻找兵器。,6.0
美猴王,水帘洞,居所关系,水帘洞是美猴王的居所。,8.0
美猴王,铁板桥,地点关系,铁板桥是花果山的一座桥。,6.0
美猴王,幽冥界,冲突关系,美猴王曾挑战幽冥界，因此他们之间存在冲突关系。,7.0
美猴王,灵霄宝殿,挑战关系,美猴王挑战了灵霄宝殿，因此他们之间存在挑战关系。,7.0
美猴王,东海,寻宝地点,美猴王在东海寻找兵器。,6.0
美猴王,南海,求助地点,美猴王在南海龙王那里求助。,6.0
美猴王,西海,求助地点,美猴王在西海龙王那里求助。,6.0
美猴王,北海,求助地点,美猴王在北海龙王那里求助。,6.0
美猴王,花果山,故乡关系,美猴王是花果山的美猴王，花果山是他的故乡。,8.0
美猴王,傲来国,寻宝地点,美猴王在傲来国寻找兵器。,6.0
齐天大圣,玉帝,管理关系,齐天大圣孙悟空被玉帝派去管理蟠桃园，说明两者之间存在管理关系。,7.5
大圣,王母娘娘,管理关系,大圣被王母娘娘安排管理蟠桃园，体现了两者之间的管理关系。,7.0
大圣,许旌阳真人,奏报关系,许旌阳真人向玉帝奏报大圣孙悟空的行为，说明两者之间存在奏报关系。,6.0
大圣,赤脚大仙,相遇关系,大圣在去赴蟠桃大会的路上遇到了赤脚大仙，说明两者之间存在相遇关系。,5.5
大圣,老君,偷丹关系,大圣在兜率天宫偷吃了老君的金丹，说明两者之间存在偷丹关系。,6.5
大圣,燃灯古佛,无关系,文本中没有提及大圣与燃灯古佛之间的具体关系。,2.0
大圣,四大天王,对战关系,大圣与四大天王在天宫外对战，说明两者之间存在对战关系。,7.0
大圣,李天王,对战关系,大圣与李天王在天宫外对战，说明两者之间存在对战关系。,7.0
大圣,哪吒太子,对战关系,大圣与哪吒太子在天宫外对战，说明两者之间存在对战关系。,7.0
大圣,花果山,故乡关系,大圣的故乡是花果山，说明两者之间存在故乡关系。,6.0
大圣,水帘洞,居所关系,大圣的居所是水帘洞，说明两者之间存在居所关系。,6.0
大圣,齐天府,任职关系,大圣被任命为齐天府的官职，说明两者之间存在任职关系。,6.0
大圣,十八架天罗地网,被捕捉关系,天兵布下十八架天罗地网来捕捉大圣，说明两者之间存在被捕捉关系。,5.5
玉帝,许旌阳真人,上下级关系,许旌阳真人向玉帝奏报，说明两者之间存在上下级关系。,5.0
玉帝,四大天王,命令关系,玉帝命令四大天王去捕捉大圣，说明两者之间存在命令关系。,6.0
玉帝,李天王,命令关系,玉帝命令李天王去捕捉大圣，说明两者之间存在命令关系。,6.0
玉帝,哪吒太子,命令关系,玉帝命令哪吒太子去捕捉大圣，说明两者之间存在命令关系。,6.0
王母娘娘,四大天王,命令关系,王母娘娘命令四大天王去摘桃，说明两者之间存在命令关系。,5.0
王母娘娘,李天王,命令关系,王母娘娘命令李天王去摘桃，说明两者之间存在命令关系。,5.0
王母娘娘,哪吒太子,命令关系,王母娘娘命令哪吒太子去摘桃，说明两者之间存在命令关系。,5.0
许旌阳真人,玉帝,奏报关系,许旌阳真人向玉帝奏报，说明两者之间存在奏报关系。,5.0
许旌阳真人,四大天王,无关系,文本中没有提及许旌阳真人与四大天王之间的具体关系。,2.0
许旌阳真人,李天王,无关系,文本中没有提及许旌阳真人与李天王之间的具体关系。,2.0
许旌阳真人,哪吒太子,无关系,文本中没有提及许旌阳真人与哪吒太子之间的具体关系。,2.0
观音菩萨,惠岸行者,师徒关系,观音菩萨是大徒弟惠岸行者的师傅，二者之间存在明确的师徒关系。,8.5
玉帝,李天王,君臣关系,李天王是玉帝的部下，二者之间存在君臣关系。,8.0
玉帝,二郎真君,君臣关系,二郎真君是玉帝的外甥，也是其部下，二者之间存在君臣关系。,7.5
李天王,哪吒太子,父子关系,李天王是哪吒太子的父亲，二者之间存在父子关系。,8.0
二郎真君,梅山六兄弟,兄弟关系,梅山六兄弟是二郎真君的兄弟，二者之间存在兄弟关系。,7.0
玉帝,大力鬼王,君臣关系,大力鬼王是玉帝的部下，二者之间存在君臣关系。,7.5
李天王,木叉,父子关系,木叉是李天王的大太子，二者之间存在父子关系。,7.0
玉帝,长庚星,君臣关系,长庚星是玉帝的部下，二者之间存在君臣关系。,6.5
李天王,虚日鼠,上下级关系,虚日鼠是李天王的部下，二者之间存在上下级关系。,6.0
李天王,昴日鸡,上下级关系,昴日鸡是李天王的部下，二者之间存在上下级关系。,6.0
李天王,星日马,上下级关系,星日马是李天王的部下，二者之间存在上下级关系。,6.0
李天王,房日兔,上下级关系,房日兔是李天王的部下，二者之间存在上下级关系。,6.0
李天王,马流元帅,上下级关系,马流元帅是李天王的部下，二者之间存在上下级关系。,6.0
李天王,崩巴二将,上下级关系,崩巴二将是李天王的部下，二者之间存在上下级关系。,6.0
二郎真君,康、张、姚、李四太尉,兄弟关系,康、张、姚、李四太尉是二郎真君的兄弟，二者之间存在兄弟关系。,6.5
二郎真君,郭申、直健二将军,兄弟关系,郭申、直健二将军是二郎真君的兄弟，二者之间存在兄弟关系。,6.5
玉帝,李虎,君臣关系,李虎是玉帝的部下，二者之间存在君臣关系。,6.0
玉帝,张龙,君臣关系,张龙是玉帝的部下，二者之间存在君臣关系。,6.0
玉帝,赵甲,君臣关系,赵甲是玉帝的部下，二者之间存在君臣关系。,6.0
玉帝,钱丙,君臣关系,钱丙是玉帝的部下，二者之间存在君臣关系。,6.0
二郎真君,青鹞,上下级关系,青鹞是二郎真君的部下，二者之间存在上下级关系。,5.5
二郎真君,鹭鸶,上下级关系,鹭鸶是二郎真君的部下，二者之间存在上下级关系。,5.5
二郎真君,老鹳,上下级关系,老鹳是二郎真君的部下，二者之间存在上下级关系。,5.5
二郎真君,花鸨,上下级关系,花鸨是二郎真君的部下，二者之间存在上下级关系。,5.5
二郎真君,土地庙,守护关系,土地庙是二郎真君守护的地方，二者之间存在守护关系。,7.0
二郎真君,灌江口,居住地关系,灌江口是二郎真君的居住地，二者之间存在居住地关系。,7.0
孙悟空,花果山,出生地关系,孙悟空出生在花果山，二者之间存在出生地关系。,7.0
玉帝,南天门,管辖关系,南天门是玉帝管辖的地方，二者之间存在管辖关系。,7.0
玉帝,斩妖台,处决地关系,斩妖台是玉帝用于处决妖魔的地方，二者之间存在处决地关系。,6.5
我佛,观音,宗教信仰关系,我佛是佛教的创始人，观音是佛教菩萨，因此他们之间是宗教信仰上的关系。,9.0
我佛,如来,宗教信仰关系,我佛与如来都是佛教的创始人，他们之间是宗教信仰上的关系。,9.0
太宗,魏征,君臣关系,太宗与魏征在历史上是君臣关系，太宗对魏征的评价非常高，因此认为他们之间存在紧密的君臣关系。,8.5
玉帝,二郎神,神祇关系,玉帝是天庭之主，二郎神是道教神祇，因此他们之间是神祇关系。,8.0
如来,观音菩萨,宗教信仰关系,如来是佛教创始人，观音菩萨是佛教菩萨，他们之间是宗教信仰上的关系。,9.0
如来,金蝉长老,宗教信仰关系,如来是佛教创始人，金蝉长老是指释迦牟尼佛的前身，因此他们之间是宗教信仰上的关系。,8.5
观音菩萨,沙悟净,师徒关系,观音菩萨是沙悟净的师傅，他们之间是师徒关系。,8.0
观音菩萨,猪悟能,师徒关系,观音菩萨是猪悟能的师傅，他们之间是师徒关系。,8.0
观音菩萨,小龙,师徒关系,观音菩萨是小龙的师傅，他们之间是师徒关系。,8.0
如来,大圣,宗教信仰关系,如来是佛教创始人，大圣是指孙悟空，孙悟空是佛教故事中的人物，因此他们之间是宗教信仰上的关系。,8.5
如来,唐僧,宗教信仰关系,如来是佛教创始人，唐僧是佛教故事中的人物，因此他们之间是宗教信仰上的关系。,8.0
长安,灵山,宗教圣地关系,长安是唐朝都城，灵山是佛教四大圣地之一，因此它们之间存在宗教圣地关系。,7.0
落伽山,紫竹林,宗教圣地关系,落伽山和紫竹林都是佛教四大圣地之一，因此它们之间存在宗教圣地关系。,7.0
西天,东土,佛教地理关系,西天是佛教所指的西方极乐世界，东土是佛教所指的东方世界，因此它们之间存在佛教地理关系。,7.0
五行山,流沙河,佛教故事关系,五行山和流沙河都是佛教故事中的地点，因此它们之间存在佛教故事关系。,7.0
福陵山,云栈洞,佛教故事关系,福陵山和云栈洞都是佛教故事中的地点，因此它们之间存在佛教故事关系。,7.0
深涧,长安城,佛教故事关系,深涧和小龙被观音菩萨送到的深涧都是佛教故事中的地点，长安城是唐朝都城，因此它们之间存在佛教故事关系。,7.0
大市街,土地庙祠,佛教故事关系,大市街和土地庙祠都是佛教故事中的地点，因此它们之间存在佛教故事关系。,7.0
城隍庙,长安城,佛教故事关系,城隍庙和长安城都是佛教故事中的地点，因此它们之间存在佛教故事关系。,7.0
唐太宗,唐三藏,君臣关系,唐太宗李世民是唐朝的皇帝，唐三藏是奉唐太宗之命前往西天取经的僧人，因此他们之间存在君臣关系。,8.5
唐三藏,孙悟空,师徒关系,唐三藏是唐僧，孙悟空是他的徒弟，两人一起西天取经，因此存在师徒关系。,9.0
孙悟空,如来佛祖,压制与被压制关系,孙悟空曾大闹天宫，被如来佛祖压制于五行山下，因此存在压制与被压制的关系。,8.0
唐三藏,观音菩萨,求助与被求助关系,唐三藏前往西天取经，在途中遇到困难时，观音菩萨曾帮助他，因此存在求助与被求助的关系。,7.5
孙悟空,水晶宫,相遇与告别关系,孙悟空在去西天取经的路上，曾到水晶宫拜访龙王，因此存在相遇与告别的关系。,6.5
孙悟空,圯桥,故事发生地,孙悟空的故事中，圯桥是黄石公和张良的故事发生地，与孙悟空的故事有间接联系。,5.0
"['孙行者', '孙悟空']",['观音院'],故事发生地,孙行者和孙悟空在观音院发生了一系列故事，观音院是故事的主要发生地之一。,8.0
"['孙行者', '孙悟空']",['黑风山'],故事发生地,孙行者和孙悟空在黑风山展开了一系列战斗和冒险，黑风山是故事的主要发生地之一。,7.5
"['孙行者', '孙悟空']",['黑风洞'],故事发生地,孙行者和孙悟空在黑风洞与黑熊精交战，黑风洞是故事的重要地点之一。,7.0
['三藏'],['观音院'],故事发生地,唐僧三藏在观音院暂住，是故事的重要地点之一。,6.5
['黑汉'],['黑风山'],居住地,黑熊精黑汉居住在黑风山上，黑风山是他的居住地。,7.0
['白衣秀士'],['黑风山'],故事发生地,白衣秀士在黑风山上与黑汉和道人一起讨论修炼之道，黑风山是故事发生地。,6.5
['道人'],['黑风山'],故事发生地,道人在黑风山与黑汉和白衣秀士一起讨论修炼之道，黑风山是故事发生地。,6.5
['凌虚子'],['黑风洞'],故事发生地,凌虚子是观音菩萨变化而成的道人，他前往黑风洞与黑熊精交涉，黑风洞是故事发生地。,6.0
['诸天'],['南海'],故事发生地,诸天神灵在南海迎接观音菩萨，南海是故事发生地之一。,6.0
['菩萨'],['南海'],故事发生地,观音菩萨在南海接受孙行者的求助，南海是故事发生地之一。,6.5
['黑熊精'],['黑风洞'],居住地,黑熊精居住在黑风洞，黑风洞是他的居所。,7.0
['小妖'],['黑风洞'],居住地,小妖居住在黑风洞，为黑熊精效力，黑风洞是他们的居住地。,6.0
['猴子'],['花果山'],居住地,猴子孙悟空居住在花果山，是孙悟空的故乡。,6.0
['唐王'],['长安'],出生地,唐王李世民出生在长安，长安是他的出生地。,5.5
['妖怪'],['黑风山'],故事发生地,故事中的妖怪大多居住在黑风山，黑风山是妖怪的聚集地。,6.0
['神仙'],['天宫'],故事发生地,神仙大多居住在天宫，天宫是神仙的居所。,5.5
['佛祖'],['佛祖殿'],故事发生地,佛祖释迦牟尼居住在佛祖殿，佛祖殿是佛祖的居所。,5.5
['罗汉'],['寺庙'],故事发生地,罗汉在寺庙中修行，寺庙是罗汉的修行地。,5.5
观音院,高老庄,所属关系,观音院是唐僧脱难的地方，而高老庄位于观音院附近，因此观音院与高老庄之间存在所属关系。,7.0
黑风洞,行者,行动目的地,行者进入黑风洞，因此黑风洞是行者的行动目的地。,6.5
乌斯藏国界,高才,所在地点,高才所在的地方是乌斯藏国界，因此乌斯藏国界与高才之间存在所在地点的关系。,6.0
高老庄,高老道,所属关系,高老道是高老庄的庄主，因此高老庄与高老道之间存在所属关系。,7.5
福陵山云栈洞,猪刚鬣,所在地点,猪刚鬣的家位于福陵山云栈洞，因此福陵山云栈洞与猪刚鬣之间存在所在地点的关系。,6.5
斗牛宫,行者,提及地点,行者提到斗牛宫，但未表明具体行动，因此斗牛宫与行者之间存在提及地点的关系。,5.0
枉死狱,行者,提及地点,行者提到枉死狱，但未表明具体行动，因此枉死狱与行者之间存在提及地点的关系。,5.0
太宗,魏征,君臣关系,太宗是唐朝皇帝，魏征是唐朝政治家，他们之间存在君臣关系。,8.0
唐僧,悟空,师徒关系,唐僧是悟空的师傅，他们之间存在师徒关系。,9.0
菩萨,悟空,求助对象,悟空向菩萨求助降妖，因此菩萨是悟空的求助对象。,7.0
三藏,唐僧,法号对应,三藏是唐僧的法号，因此三藏与唐僧之间存在法号对应的关系。,8.0
高才,高老庄,所属关系,高才是高老庄的家人，因此高老庄与高才之间存在所属关系。,7.0
翠兰,高老庄,所属关系,翠兰是高老庄的女子，因此高老庄与翠兰之间存在所属关系。,7.0
猪刚鬣,高老庄,所在地点,猪刚鬣被描述为在高的女儿翠兰家，因此高老庄与猪刚鬣之间存在所在地点的关系。,6.5
太宗,魏征,君臣关系,太宗与魏征在便殿对弈，体现了君臣关系，且太宗对魏征的评价非常高，因此认为他们之间存在紧密的君臣关系。,8.5
悟空,八戒,师兄弟关系,悟空和八戒都是唐僧的徒弟，他们一起保护唐僧西天取经，因此他们之间是师兄弟关系。,8.0
悟空,三藏,师徒关系,悟空是唐僧的大徒弟，他们一起西天取经，所以存在师徒关系。,8.0
八戒,三藏,师徒关系,八戒是唐僧的二徒弟，他们一起西天取经，因此存在师徒关系。,8.0
悟空,云栈洞,居住地关系,悟空在云栈洞与妖怪斗法，因此云栈洞是悟空的居住地之一。,7.5
八戒,高老庄,居住地关系,八戒曾娶高老庄的女子为妻，因此高老庄是八戒的居住地。,7.0
悟空,浮屠山,路过地关系,悟空在取经途中经过浮屠山，乌巢禅师在那里传授唐僧《多心经》。,6.5
三藏,灵霄殿,拜访地关系,三藏在取经途中曾到灵霄殿，向玉皇大帝请教取经事宜。,6.0
嫦娥,广寒宫,居住地关系,嫦娥住在广寒宫，这是她的居所。,7.0
王母,蟠桃会,举办地关系,王母在蟠桃会举办宴会，招待各路神仙。,6.5
李金星,天宫,居住地关系,李金星是天宫中的神仙，因此天宫是他的居住地。,6.0
玉皇,天宫,居住地关系,玉皇是天宫的最高统治者，因此天宫是他的居所。,6.0
乌巢禅师,浮屠山,居住地关系,乌巢禅师在浮屠山上修行，因此浮屠山是他的居住地。,7.0
三藏法师,大唐,出生地关系,三藏法师即唐僧，出生于大唐，因此大唐是他的出生地。,6.0
菩萨,佛门,修行地关系,菩萨在佛门修行，因此佛门是他们的修行地。,7.0
二郎神,天宫,居住地关系,二郎神是天宫的神仙，因此天宫是他的居住地。,6.0
太上老君,炼丹炉,炼丹地关系,太上老君在炼丹炉中炼制丹药，因此炼丹炉是他的炼丹地。,6.0
观音菩萨,南海,修行地关系,观音菩萨在南海修行，因此南海是她的修行地。,7.0
唐僧,孙悟空,师徒关系,唐僧是孙悟空的师傅，两人一同西天取经，体现了深厚的师徒关系。,8.5
唐僧,猪八戒,师徒关系,唐僧是猪八戒的师傅，两人一同西天取经，体现了师徒间的紧密联系。,8.0
唐僧,沙僧,师徒关系,唐僧是沙僧的师傅，两人一同西天取经，显示了他们之间牢固的师徒关系。,7.5
孙悟空,猪八戒,同伴关系,孙悟空和猪八戒都是唐僧的徒弟，一同西天取经，彼此间有深厚的同伴关系。,7.0
孙悟空,沙僧,同伴关系,孙悟空和沙僧都是唐僧的徒弟，一同西天取经，他们之间是同伴关系。,6.5
猪八戒,沙僧,同伴关系,猪八戒和沙僧都是唐僧的徒弟，一同西天取经，显示了他们之间同伴关系的紧密。,6.0
唐僧,黄风大王,敌人关系,唐僧与黄风大王是敌对关系，因为黄风大王想要吃掉唐僧。,8.0
孙悟空,虎先锋,敌人关系,孙悟空与虎先锋是敌对关系，因为虎先锋是黄风大王的手下，曾捉拿唐僧。,7.5
猪八戒,虎先锋,敌人关系,猪八戒与虎先锋是敌对关系，因为虎先锋曾捉拿唐僧。,7.0
孙悟空,黄风大王,敌人关系,孙悟空与黄风大王是敌对关系，因为黄风大王想要吃掉唐僧。,7.5
猪八戒,黄风大王,敌人关系,猪八戒与黄风大王是敌对关系，因为黄风大王想要吃掉唐僧。,7.0
沙僧,黄风大王,敌人关系,沙僧与黄风大王是敌对关系，因为黄风大王想要吃掉唐僧。,6.5
唐僧,雷音寺,目的地关系,唐僧的目标是前往雷音寺取经，雷音寺是他们的目的地。,8.0
唐僧,黄风岭,经过地点关系,唐僧在取经路上经过黄风岭，黄风岭是他们的经过地点。,7.0
唐僧,黄风洞,遭遇地点关系,唐僧在取经途中遭遇黄风洞，黄风洞是他们的遭遇地点。,7.5
唐僧,藏风山凹,交战地点关系,唐僧与虎先锋在藏风山凹交战，藏风山凹是他们的交战地点。,6.5
唐僧,东土大唐,出发地关系,唐僧从东土大唐出发去西天取经，东土大唐是他们的出发地。,8.0
唐僧,西天,目的地关系,唐僧前往西天取经，西天是他们的目的地。,8.0
唐僧,孙悟空,师徒关系,唐僧是唐僧师徒四人中的师傅，孙悟空是唐僧的大徒弟，他们一起取经，所以存在师徒关系。,8.5
唐僧,猪八戒,师徒关系,唐僧是唐僧师徒四人中的师傅，猪八戒是唐僧的二徒弟，他们一起取经，所以存在师徒关系。,8.5
唐僧,沙悟净,师徒关系,唐僧是唐僧师徒四人中的师傅，沙悟净是唐僧的三徒弟，他们一起取经，所以存在师徒关系。,8.5
孙悟空,猪八戒,师兄弟关系,孙悟空和猪八戒都是唐僧的徒弟，他们之间是师兄弟关系。,7.0
孙悟空,沙悟净,师兄弟关系,孙悟空和沙悟净都是唐僧的徒弟，他们之间是师兄弟关系。,7.0
猪八戒,沙悟净,师兄弟关系,猪八戒和沙悟净都是唐僧的徒弟，他们之间是师兄弟关系。,7.0
唐僧,流沙河,取经路上的障碍,唐僧师徒在取经途中遇到流沙河，需要克服这个障碍才能继续前行。,6.5
唐僧,八百里流沙界,取经路上的障碍,八百里流沙界是流沙河的别称，也是唐僧师徒取经路上的一个障碍。,6.5
孙悟空,灵霄殿,天宫中的宫殿,孙悟空曾经在天宫中生活，灵霄殿是天宫中的宫殿之一。,5.0
观音菩萨,紫竹林,观音菩萨的居所,观音菩萨在紫竹林修行，紫竹林是观音菩萨的居所。,5.0
孙悟空,南海,观音菩萨的道场所在地,孙悟空曾去南海找观音菩萨求助，南海是观音菩萨的道场所在地。,5.0
孙悟空,潮音洞,观音菩萨修行的地方,孙悟空曾到潮音洞找观音菩萨，潮音洞是观音菩萨修行的地方。,5.0
沙悟净,东洋海,沙悟净的故乡,沙悟净原是卷帘大将，东洋海是其故乡。,5.0
唐僧,悟空,师徒关系,唐僧是取经人，孙悟空是他的大徒弟，他们之间是师徒关系，共同经历了取经路上的种种困难。,8.5
唐僧,八戒,师徒关系,唐僧是取经人，猪八戒是他的二徒弟，他们之间是师徒关系，共同经历了取经路上的种种困难。,8.5
唐僧,沙僧,师徒关系,唐僧是取经人，沙悟净是他的三徒弟，他们之间是师徒关系，共同经历了取经路上的种种困难。,8.5
悟空,八戒,兄弟关系,孙悟空和猪八戒都是唐僧的徒弟，因此他们是兄弟关系。,7.5
悟空,沙僧,兄弟关系,孙悟空和沙悟净都是唐僧的徒弟，因此他们是兄弟关系。,7.5
八戒,沙僧,兄弟关系,猪八戒和沙悟净都是唐僧的徒弟，因此他们是兄弟关系。,7.5
镇元子,清风,师徒关系,镇元子是五庄观观主，清风是他的徒弟之一，他们之间是师徒关系。,8.0
镇元子,明月,师徒关系,镇元子是五庄观观主，明月是他的徒弟之一，他们之间是师徒关系。,8.0
唐僧,镇元子,故人关系,镇元子与唐僧在兰盆会上相识，所以他们之间是故人关系。,7.0
元始天尊,镇元子,宗教领袖与信徒关系,元始天尊是道教最高神祇之一，镇元子是他的信徒，他们之间是宗教领袖与信徒的关系。,7.0
佛祖,唐僧,宗教领袖与信徒关系,佛祖是西方极乐世界的教主，唐僧是他的信徒，他们之间是宗教领袖与信徒的关系。,7.0
土地,花园,管理者与被管理者关系,土地是花园的管理者，花园是被管理者。,6.5
土地,菜园,管理者与被管理者关系,土地是菜园的管理者，菜园是被管理者。,6.5
唐僧,太宗,师徒关系,唐僧是奉唐太宗之命前往西天取经的，因此太宗是唐僧的师傅，他们之间存在师徒关系。,8.5
大圣,唐僧,师徒关系,孙悟空是唐僧的大徒弟，他们一起西天取经，因此存在师徒关系。,8.0
猪八戒,唐僧,师徒关系,猪八戒是唐僧的二徒弟，他们一起西天取经，因此存在师徒关系。,8.0
沙和尚,唐僧,师徒关系,沙和尚是唐僧的三徒弟，他们一起西天取经，因此存在师徒关系。,8.0
大圣,花果山,故乡关系,孙悟空是花果山的美猴王，花果山是他的故乡，因此存在故乡关系。,8.0
二郎神,花果山,破坏关系,二郎神曾放火烧毁花果山，因此与花果山存在破坏关系。,7.5
梅山七弟兄,花果山,破坏关系,梅山七弟兄与二郎神一同放火烧毁花果山，因此与花果山存在破坏关系。,7.0
马流二元帅,花果山,居住关系,马流二元帅是花果山猴群中的将领，因此与花果山存在居住关系。,7.0
奔芭二将军,花果山,居住关系,奔芭二将军是花果山猴群中的将领，因此与花果山存在居住关系。,7.0
黄袍老怪,碗子山波月洞,居住关系,黄袍老怪住在碗子山波月洞，因此与碗子山波月洞存在居住关系。,8.0
小妖,碗子山波月洞,居住关系,小妖是黄袍老怪的部下，住在碗子山波月洞，因此与碗子山波月洞存在居住关系。,7.0
东洋大海,大圣,穿越关系,孙悟空跳过了东洋大海，因此与东洋大海存在穿越关系。,7.0
黑松林,花果山,邻近关系,黑松林位于花果山附近，因此与花果山存在邻近关系。,7.0
塔,白虎岭,地点关系,塔位于白虎岭，因此与白虎岭存在地点关系。,7.0
['太宗'],['唐太宗李世民'],皇帝与人物,太宗是唐太宗李世民，而唐太宗李世民是唐朝的第二位皇帝，这是一个皇帝与他的名字的对应关系。,9.0
['魏征'],['魏征'],人物与人物,魏征是唐朝政治家、军事家、文学家，与他自己的名字相对应。,9.0
['八戒'],['猪八戒'],人物与人物,八戒是猪八戒的别称，两者指代同一人物。,9.0
['沙僧'],['沙僧'],人物与人物,沙僧是沙僧的别称，两者指代同一人物。,9.0
['唐僧'],['唐僧'],人物与人物,唐僧是唐僧的别称，两者指代同一人物。,9.0
['公主'],['百花羞'],人物与人物,公主是指百花羞，百花羞是公主的名字。,9.0
['黄袍怪'],['黄袍怪'],人物与人物,黄袍怪是黄袍怪的名字，两者指代同一人物。,9.0
