source,target,relationship,description,strength
孙悟空,幽冥界城,对抗关系,孙悟空在幽冥界城与冥王对抗，表现出了明显的对抗关系。,9
悟空,如意棒,使用关系,悟空执着如意棒，并使用它进行了多种行动，如勾销生死簿，显示他们之间有很强的使用关系。,9
悟空,森罗殿,访问关系,悟空登森罗殿并查看了生死簿，表明他与森罗殿存在访问关系。,7
悟空,十王,冲突关系,悟空在森罗殿与十王争吵，显示他们之间存在冲突关系。,6
悟空,判官,互动关系,判官帮助悟空查找生死簿，他们之间存在互动关系。,5
悟空,幽冥界,行动关系,悟空在幽冥界勾销了猴属的生死簿，表明他在幽冥界内有所行动。,8
悟空,四健将,领导关系,四健将是悟空的手下，负责守护和服侍悟空，显示悟空与四健将之间存在领导关系。,7
悟空,各洞妖王,盟友关系,各洞妖王与悟空结义，并祝贺悟空销名，表明他们是盟友关系。,7
悟空,六个义兄弟,兄弟关系,六个义兄弟是悟空的结拜兄弟，来祝贺悟空销名，显示他们之间有兄弟关系。,8
悟空,玉皇大天尊,被审判关系,玉皇大天尊听闻悟空之事并决定派遣天兵擒拿，显示悟空与玉皇大天尊之间存在被审判的关系。,6
悟空,东海龙王敖广,冲突关系,东海龙王敖广因悟空的骚扰而向玉皇大帝启奏，显示他们之间存在冲突关系。,7
悟空,花果山,居住关系,花果山是悟空的居所，显示他与花果山有居住关系。,8
悟空,水帘洞,居住关系,水帘洞是悟空的洞府，显示他与水帘洞有居住关系。,8
太宗,秦广王,君臣关系,太宗作为玉皇大帝，对秦广王有命令和调度，显示他们之间存在君臣关系。,8.0
太宗,大天尊,上下级关系,大天尊是对太宗的尊称，显示了他们之间的上下级关系。,8.5
千里眼,顺风耳,同事关系,千里眼和顺风耳一同担任玉皇大帝的侦查官，是共同执行任务的关系。,7.5
太宗,太白长庚星,委派关系,太宗委派太白金星去招安孙悟空，体现了委派关系。,8.0
太白长庚星,文曲星官,指令关系,太白金星指示文曲星官修诏，显示他们之间存在指令关系。,7.0
美猴王,四健将,领导与属下关系,美猴王是四健将的领导者，他们之间是领导与属下的关系。,7.5
增长天王,悟空,对立关系,增长天王带领天兵天将阻挡悟空进入南天门，显示他们之间存在对立关系。,6.5
美猴王,花果山水帘洞,居所关系,美猴王的居所是花果山水帘洞，他们之间是居住者与地点的关系。,8.0
增长天王,南天门,守卫关系,增长天王守卫南天门，显示他们之间存在守卫者与地点的关系。,7.0
秦广王,地府,管理关系,秦广王作为地府的阎王，管理着地府，他们之间存在管理者与地点的关系。,8.5
太白金星,美猴王,引领关系,太白金星领着美猴王进入天宫，表明太白金星对美猴王具有引领和指导的关系。,7.5
美猴王,灵霄殿,访问关系,美猴王在太白金星的引领下到达灵霄殿，与灵霄殿存在访问关系。,6.0
金星,玉帝,启奏关系,金星向玉帝启奏，表明他们之间存在上下级关系，金星负责向玉帝报告。,8.0
玉帝,孙悟空,任命关系,玉帝任命孙悟空为‘弼马温’，体现了玉帝对孙悟空的赋予官职的关系。,9.0
孙悟空,武曲星君,建议关系,武曲星君提出任命孙悟空的建议，表现出他对孙悟空职位的关注和建议。,7.0
玉帝,木德星君,差遣关系,玉帝差遣木德星君送孙悟空到任，体现了玉帝对木德星君的命令和差遣。,7.5
孙悟空,御马监,职务关系,孙悟空被任命为御马监的正堂管事，与御马监存在直接的职务关系。,8.5
孙悟空,花果山,归属关系,孙悟空是花果山的猴王，两者之间存在归属和起源的关系。,7.0
猴王,四健将,领导关系,猴王是四健将的领导者，他们在花果山上共同操练兵卒，显示出紧密的领导与属下关系。,8.0
猴王,各洞妖王,同僚关系,各洞妖王在花果山上与猴王一同操演兵卒，表明他们之间有同僚关系。,7.5
猴王,独角鬼王,君臣关系,独角鬼王献上赭黄袍，愿效犬马之劳，猴王封他们为前部总督先锋，显示了君臣之间的互动。,8.5
猴王,张天师,敌对关系,张天师引导御马监监丞向玉帝报告猴王反下天宫的事情，表明他们之间存在敌对关系。,7.0
猴王,玉帝,敌对关系,猴王因不满玉帝封的职位而反下天宫，玉帝随后派兵捉拿猴王，显示他们之间有明显的敌对关系。,9.0
猴王,托塔李天王,敌对关系,托塔李天王被封为降魔大元帅，下界捉拿猴王，说明他们之间是敌对的关系。,8.0
猴王,哪吒三太子,敌对关系,哪吒三太子作为三坛海会大神协助托塔李天王捉拿猴王，他们之间也存在敌对关系。,7.5
猴王,巨灵神,敌对关系,巨灵神作为先锋挑战猴王，猴王与他交战，显示他们之间有直接的敌对关系。,8.5
猴王,花果山,居所关系,猴王是花果山的领袖，这里是他和其他妖怪的居所，因此他们之间有强烈的居所关系。,9.5
猴王,水帘洞,居所关系,水帘洞是猴王的居所，位于花果山中，是他个人的领地。,9.0
玉帝,南天门,所属关系,南天门是天宫的一部分，玉帝作为天宫之主，与南天门存在所属关系。,8.0
玉帝,灵霄宝殿,居所关系,灵霄宝殿是玉帝的居所，因此他们之间存在居所关系。,9.0
托塔李天王,哪吒三太子,同僚关系,他们一同被玉帝指派下界捉拿猴王，显示他们之间有同僚关系。,8.0
托塔李天王,巨灵神,领导关系,巨灵神是托塔李天王的先锋，说明他们之间存在领导与属下关系。,8.5
托塔李天王,花果山,敌对关系,托塔李天王帅军来到花果山捉拿猴王，表明他与花果山存在敌对关系。,7.0
四健将,各洞妖王,同僚关系,四健将与各洞妖王在花果山上共同操演兵卒，显示出同僚关系。,7.0
独角鬼王,花果山,拜访关系,独角鬼王来到花果山拜访猴王，存在拜访与接待的关系。,6.5
张天师,玉帝,君臣关系,张天师引导官员向玉帝奏报，显示他们之间存在君臣关系。,7.5
南天门,花果山,相对位置关系,南天门是天宫的出口之一，通往花果山，他们之间存在相对位置关系。,6.0
巨灵神,水帘洞,敌对关系,巨灵神在水帘洞外挑战猴王，显示他们之间存在敌对关系。,7.0
如意棒,猴王,武器与持有者关系,如意棒是猴王孙悟空的武器，能够变化大小和数量，是其战斗中的重要凭借，因此关系紧密。,9
宣花斧,哪吒,武器与持有者关系,宣花斧是哪吒的武器之一，在与猴王的战斗中使用，体现了二者的直接联系。,8
巨灵神,猴王,对手关系,巨灵神与猴王曾发生战斗，猴王以一棒击败巨灵神，显示了二者的对抗关系。,7
哪吒,猴王,对手关系,哪吒受玉帝钦差捉拿猴王，二者展开激烈的战斗，体现了明显的对抗关系。,9
玉皇,猴王,命令与被命令关系,玉皇是命令哪吒捉拿猴王的主宰，与猴王之间存在命令与反叛的关系。,8
齐天大圣,猴王,封号与持有者关系,齐天大圣是猴王的封号，代表了猴王的身份和力量，二者关系密切。,10
李天王,哪吒,父子关系,李天王是哪吒的父亲，关心哪吒的战斗情况，并计划回天庭请求增援，体现了父子间的紧密关系。,9
弼马温,猴王,曾用名与持有者关系,弼马温是猴王在天宫时的封号，后成为猴王反叛天庭的原因之一，与猴王有历史上的联系。,7
天丁,猴王,旁观者与战斗者关系,天丁在猴王与哪吒的战斗中呐喊助威，作为旁观者与战斗者存在间接关系。,5
各洞妖王,猴王,旁观者与战斗者关系,各洞妖王看到猴王与哪吒的战斗后感到害怕，显示了猴王的威名与影响力。,6
遍山鬼怪,猴王,旁观者与战斗者关系,遍山鬼怪因猴王与哪吒的战斗而藏头缩尾，体现了猴王的威慑力。,5
海会,猴王,封号地点与持有者关系,海会是猴王受封为三坛海会大神的地方，与猴王身份的提升有直接关系。,7
灵霄宝殿,猴王,目标地点与威胁者关系,灵霄宝殿是猴王曾威胁要打上的地方，体现了猴王对天庭的挑战。,8
猴王,七十二洞妖王,统属关系,猴王得胜归山，七十二洞妖王俱来贺喜，表明猴王在这些妖王中享有较高的地位。,7.5
猴王,六弟兄,结拜兄弟,猴王与牛魔王等六位妖王结拜，并各自称大圣，显示出他们之间的紧密关系。,8.5
猴王,牛魔王,结拜兄弟,牛魔王是猴王的结拜兄弟之一，自称平天大圣，支持猴王的称号。,8.0
猴王,蛟魔王,结拜兄弟,蛟魔王是猴王的结拜兄弟之一，自称覆海大圣，支持猴王的称号。,8.0
猴王,鹏魔王,结拜兄弟,鹏魔王是猴王的结拜兄弟之一，自称混天大圣，支持猴王的称号。,8.0
猴王,狮犭它王,结拜兄弟,狮犭它王是猴王的结拜兄弟之一，自称移山大圣，支持猴王的称号。,8.0
猴王,猕猴王,结拜兄弟,猕猴王是猴王的结拜兄弟之一，自称通风大圣，支持猴王的称号。,8.0
猴王,犭狨王,结拜兄弟,犭狨王是猴王的结拜兄弟之一，自称驱神大圣，支持猴王的称号。,8.0
猴王,李天王,敌对关系,李天王领兵下界收伏孙悟空，与猴王形成敌对关系。,6.0
猴王,三太子,敌对关系,三太子参与其父李天王收伏孙悟空的行动，与猴王形成敌对关系。,5.5
猴王,玉帝,君臣关系,玉帝最终决定授予猴王齐天大圣的官职，体现出君臣之间的关系。,7.0
猴王,太白金星,使者与被使者,太白金星作为天庭使者多次与猴王交流，提出招安建议，两者之间存在互动关系。,6.5
猴王,花果山水帘洞,居所关系,花果山水帘洞是猴王的居所，众妖精在此聚集，显示了猴王的地位。,7.0
猴王,南天门,出入场所,猴王多次从南天门出入，与天庭进行交流，南天门是其活动的地点之一。,5.0
猴王,灵霄殿,政治活动场所,灵霄殿是猴王接受官职和进行政治活动的地方。,6.0
猴王,齐天大圣府,居所关系,玉帝为猴王设立的府邸，显示了猴王在天庭的地位和身份。,7.5
齐天大圣,齐天府,所属关系,齐天大圣有自己所属的府邸，即齐天府，他在其中自由自在，有二司仙吏早晚扶侍。,9
齐天大圣,三清,尊敬关系,齐天大圣见三清时，会称呼他们为‘老’字，显示出对他们的尊敬。,7
齐天大圣,四帝,尊敬关系,齐天大圣逢四帝时，会尊称他们为‘陛下’，表明他对四帝的尊敬。,7
齐天大圣,玉帝,君臣关系,玉帝是天宫的最高统治者，他任命齐天大圣管理蟠桃园，二者之间存在君臣关系。,8
齐天大圣,蟠桃园,管理关系,玉帝让齐天大圣管理蟠桃园，齐天大圣在这里三五日一次赏玩，表现出他与蟠桃园的管理关系。,8
齐天大圣,土地,管理关系,土地是蟠桃园的土地神，向七衣仙女说明蟠桃园的情况，显示出齐天大圣与土地之间的管理关系。,7
齐天大圣,七衣仙女,互动关系,七衣仙女摘桃时与齐天大圣发生误会，后解释清楚，表明他们之间有直接的互动关系。,6
齐天府,二司仙吏,所属关系,齐天府下有二司仙吏，早晚扶侍齐天大圣，说明二司仙吏属于齐天府。,8
蟠桃园,土地,守护关系,土地是蟠桃园的守护神，对蟠桃园的情况非常了解，向七衣仙女说明园中情况。,9
王母娘娘,七衣仙女,派遣关系,王母娘娘派遣七衣仙女去蟠桃园摘桃建会，表现出王母娘娘与七衣仙女之间的上下级关系。,9
大圣,赤脚大罗仙,欺骗关系,大圣哄骗赤脚大罗仙，使其改变赴会路线，表现出欺骗行为。,7
大圣,王母,偷窃关系,大圣因未被邀请而偷吃王母举办的蟠桃嘉会的仙品，表现出偷窃行为。,8
大圣,玉帝,畏惧关系,大圣因担心偷吃仙品被玉帝发现而逃回花果山，表现出对玉帝的畏惧。,6
大圣,老君,偷窃关系,大圣在老君宫中偷吃了金丹，表现出偷窃行为。,8
大圣,燃灯古佛,偶遇关系,大圣在寻找老君时遇到燃灯古佛在讲道，虽然没有直接互动，但有空间上的联系。,4
大圣,四健将,归属关系,四健将是花果山的将领，迎接大圣回山，表现出归属关系。,9
大圣,七十二洞妖王,归属关系,大圣回到花果山，与七十二洞妖王一起，表现出归属关系。,8
大圣,兜率天宫,偷窃地点,大圣在兜率天宫中偷吃了金丹，这是偷窃行为发生的地点。,7
大圣,通明殿,误导地点,大圣哄骗赤脚大罗仙先去通明殿，这是误导行为发生的地点。,6
大圣,瑶池,偷窃地点,大圣偷吃蟠桃和仙酒的地方，这是偷窃行为发生的地点。,8
大圣,花果山,居所关系,花果山是大圣的居所，他在此地感到安全和快乐。,10
大圣,齐天府,官职关系,齐天府是大圣在天宫中被封的官职所在地，是他的官方居所。,7
七衣仙女,大圣,受害与施法关系,七衣仙女受到了大圣的定身法术，表明大圣对她们有直接的影响，因此他们之间存在明显的受害与施法关系。,7
七衣仙女,王母,侍女与主上关系,七衣仙女回奏王母蟠桃的情况，表明她们是王母的侍女，存在侍女与主上的关系。,6
大圣,王母,犯上与审查关系,大圣偷吃蟠桃并搅乱蟠桃大会，王母询问蟠桃情况，表明大圣与王母之间存在犯上与审查的关系。,8
大圣,玉帝,犯上与惩处关系,大圣的行为触怒了玉帝，玉帝派遣天兵捉拿大圣，他们之间存在犯上与惩处的强烈关系。,9
造酒的一班人,玉帝,属下与上报关系,造酒的一班人向玉帝奏报蟠桃大会的情况，显示出属下与上报的关系。,5
四个大天师,太上道祖,通报与被通报关系,四大天师通报太上道祖的到来，表明他们之间存在通报与被通报的关系。,4
太上道祖,玉帝,臣服与遭受关系,太上道祖向玉帝报告金丹被偷，表明他在玉帝面前有臣服的立场，同时遭受了损失。,6
齐天府仙吏,玉帝,属下与上报关系,齐天府仙吏向玉帝报告大圣的情况，存在属下与上报的关系。,5
赤脚大仙,玉帝,误导与被误导关系,赤脚大仙被大圣误导，向玉帝奏报，他们之间存在误导与被误导的关系。,7
纠察灵官,玉帝,执行与命令关系,纠察灵官领旨寻找大圣，并向玉帝回奏，表明他们之间存在执行与命令的关系。,6
四大天王,玉帝,执行命令关系,四大天王被玉帝差遣去围困大圣，他们之间存在执行命令的关系。,8
李天王,玉帝,指挥与被指挥关系,李天王在天兵中担任指挥，直接受玉帝的命令，存在指挥与被指挥的关系。,8
哪吒太子,玉帝,执行命令关系,哪吒太子协助围困大圣，是玉帝命令的执行者，存在执行命令的关系。,7
"('二十八宿', '九曜星官', '十二元辰', '五方揭谛', '四值功曹', '东西星斗', '南北二神', '五岳四渎', '普天星相')",玉帝,执行命令关系,这些天兵都是玉帝派遣去围困大圣的，他们与玉帝之间存在执行命令的关系。,9
大圣,花果山,居住与地点关系,大圣居住在花果山，他们之间存在居住与地点的关系。,10
大圣,通明殿,误导与地点关系,大圣声称玉帝旨意要仙女前往通明殿，表明通明殿在这一事件中是大圣误导的地点。,7
大圣,七十二洞妖王,领导与部下,大圣与七十二洞妖王分饮仙酒，且大圣命令他们出阵迎敌，表明他们之间有领导和部下的关系。,8.0
大圣,四健将,领导与部下,四健将是大圣的部下，跟随大圣参与战斗，并且对大圣非常忠诚，这体现了他们之间的领导与部下关系。,8.5
大圣,独角鬼王,同盟关系,大圣命令独角鬼王领帅妖兵出阵，他们之间构成暂时的同盟关系，共同对抗外敌。,7.5
大圣,九个凶神,敌对关系,九个凶神奉玉帝之命来捉拿大圣，双方发生激烈战斗，这明显是敌对关系。,9.0
大圣,玉帝,对立关系,玉帝命令九曜星来捉拿大圣，大圣与玉帝之间存在对立关系。,8.0
大圣,四大天王,敌对关系,大圣与四大天王在战斗中相对立，表现出敌对关系。,7.5
大圣,二十八宿,敌对关系,二十八宿参与捉拿大圣的战斗，与大圣处于敌对状态。,7.0
大圣,李天王,敌对关系,李天王亲自出马对抗大圣，他们之间构成敌对关系。,7.5
大圣,哪吒太子,敌对关系,大圣在战斗中打退了哪吒太子，他们之间存在敌对关系。,7.0
大圣,水帘洞,居所关系,水帘洞是大圣的居所，大圣在此地指挥战斗，并返回洞中，体现了居所关系。,6.5
大圣,铁板桥头,战场关系,铁板桥头是大圣与天神战斗的地点，大圣在此地展现了英勇的战斗能力，故与铁板桥头存在战场关系。,6.0
四健将,七十二洞妖王,同伴关系,四健将与七十二洞妖王一同参与战斗，共同面对困境，具有同伴关系。,5.5
四健将,独角鬼王,同伴关系,四健将与独角鬼王一同在大圣的领导下战斗，存在同伴关系。,5.5
独角鬼王,七十二洞妖王,领导与部下,独角鬼王领帅七十二洞妖王出阵，他们之间存在领导与部下的关系。,6.5
九个凶神,玉帝,服从关系,九个凶神奉玉帝金旨捉拿大圣，表现出对玉帝的服从关系。,7.0
九个凶神,四大天王,同伴关系,九个凶神与四大天王一同参与对抗大圣的战斗，存在同伴关系。,5.5
九个凶神,二十八宿,同伴关系,九个凶神与二十八宿一同按玉帝命令行动，具有同伴关系。,5.5
李天王,四大天王,领导与部下,李天王掌管四大天王，一同出师斗大圣，存在领导与部下的关系。,6.5
李天王,哪吒太子,父子关系,李天王与哪吒太子是父子关系，一同参与战斗。,7.0
四大天王,二十八宿,同伴关系,四大天王与二十八宿一同参与战斗，存在同伴关系。,5.0
四大天王,花果山,围困关系,四大天王收兵罢战，围困了花果山，表现出明显的敌对和围困关系。,7.5
观音菩萨,惠岸行者,师徒关系,观音菩萨是惠岸行者的师傅，派遣他下凡打探军情，显示他们之间有紧密的师徒关系。,8.0
玉帝,孙悟空,君臣关系,玉帝是孙悟空的上级，曾封孙悟空为弼马温官和齐天大圣，两人之间存在君臣关系，且因孙悟空的反叛而关系紧张。,8.5
李天王,孙悟空,敌对关系,李天王受玉帝之命率天兵捉拿孙悟空，他们之间是明显的敌对关系。,7.0
李天王,惠岸行者,父子关系,惠岸行者是李天王的二太子木叉，他们之间是父子关系。,8.0
孙悟空,花果山,出生地关系,孙悟空是从花果山石卵化生而来，花果山是他的出生地和根据地。,9.0
观音菩萨,玉帝,尊卑关系,观音菩萨尊称玉帝，并前去通明殿与之相见，表现出一种尊卑关系。,6.5
虎豹,孙悟空,象征关系,虎豹被捉住而孙悟空未被捉住，象征孙悟空的勇猛超过虎豹。,4.5
狮象,孙悟空,象征关系,狮象被捉住而孙悟空未被捉住，象征孙悟空的力量超过狮象。,4.5
狼虫狐骆,孙悟空,象征关系,狼虫狐骆被捉住而孙悟空未被捉住，象征孙悟空的智慧与能力超过这些山林精怪。,4.0
好太子,木叉,同一人,好太子和木叉是同一人，都是李天王的第二太子，法名惠岸。,10
好太子,李天王,父子关系,好太子是李天王的儿子，从文中可以看出他们的父子关系。,10
木叉,观音菩萨,师徒关系,木叉是观音菩萨的徒弟，接受观音菩萨的指令。,9
木叉,齐天大圣,敌对关系,木叉作为天兵，前来擒拿齐天大圣，他们之间存在敌对关系。,8
李天王,玉帝,上下级关系,李天王向玉帝求助，表明他们之间存在上下级关系。,8
观音菩萨,玉帝,同僚关系,观音菩萨和玉帝都是天界的重要人物，相互之间有合作和沟通。,7
玉帝,二郎真君,亲属关系,玉帝是二郎真君的舅舅，他们之间存在亲属关系。,7
二郎真君,梅山六兄弟,兄弟关系,二郎真君和梅山六兄弟是兄弟，一同前往花果山捉拿齐天大圣。,9
齐天大圣,二郎真君,敌对关系,齐天大圣与二郎真君有战斗，存在敌对关系。,8
观音菩萨,南海,居住地,南海是观音菩萨修行的地方，是他的居住地。,9
二郎真君,灌洲灌江口,居住地,灌洲灌江口是二郎真君的居所。,10
齐天大圣,花果山,居住地,花果山是齐天大圣孙悟空的居所。,10
木叉,花果山,行动地点,木叉到花果山打探军情，与齐天大圣战斗。,7
梅山六兄弟,东洋大海,行动地点,梅山六兄弟经过东洋大海前往花果山。,6
花果山,南海,相对位置,花果山与南海相对位置较近，都是神话中的地点。,4
灌洲灌江口,通明殿,相对位置,灌洲灌江口与通明殿都是天界地点，但文中未表明具体位置关系。,3
玉帝外甥,大圣,对手关系,二郎神作为玉帝的外甥与孙悟空展开激烈的战斗，两者之间存在明显的对手关系。,9.0
真君,大圣,对手关系,二郎神（真君）与孙悟空（大圣）进行了长时间的斗法，二者为明显的对手关系。,9.5
康、张、姚、李,大圣,敌对关系,四大天王阻挡孙悟空的去路，显示出敌对的关系。,8.0
郭申、直健,大圣,敌对关系,二将军作为二郎神的部下，参与围捕孙悟空，存在敌对关系。,7.5
水帘洞,大圣,居所关系,水帘洞是孙悟空的居所，因此他们之间存在居所关系。,7.0
华山顶上之峰,真君,比喻关系,描述二郎神变化后威猛的形象时，以华山顶上之峰比喻，显示了一种比喻关系。,6.5
昆仑顶上擎天之柱,大圣,比喻关系,描述孙悟空变化后威猛的形象时，以昆仑顶上擎天之柱比喻，显示了一种比喻关系。,6.5
