entity_name,entity_type,entity_description
四个老猴,人物,孙悟空的部下，被封为健将，帮助管理花果山。
七弟兄,人物,孙悟空与其他六位魔王结拜的兄弟，包括牛魔王、蛟魔王等。
幽冥界,地点,阎王所居之地，掌管生死和轮回。
花果山,地点,孙悟空的出生地，有水帘洞，是一处风景秀丽的地方。
水晶宫,地点,龙王的居所，位于海底，装饰华丽。
铁板桥,地点,位于花果山中，是孙悟空经常出没的地方。
幽冥界城,地点,十代冥王所居之城，城上有铁牌，标志着这是幽冥界的入口。
悟空,人物,孙悟空，又称美猴王，天产石猴，具有仙法和武艺，善于使用如意棒，具有勾销生死簿的神通。
如意棒,人物,孙悟空的武器，具有神奇的力量，可随心所欲变化大小和长度。
森罗殿,地点,幽冥界的宫殿，悟空在此查看了生死簿。
十王,人物,幽冥界的十位王，掌管生死簿。
判官,人物,幽冥界的官员，掌管文簿，帮助悟空查找生死簿。
司房,地点,存放文簿的地方。
幽冥界,地点,阴间世界，悟空在此勾销了猴属的生死簿。
翠云宫,地点,地藏王菩萨的居所，十王在此商量启表。
地藏王菩萨,人物,幽冥教主，管理幽冥界的菩萨。
南柯一梦,地点,悟空跌倒后梦境的代称。
四健将,人物,孙悟空的手下，负责守护和服侍悟空。
各洞妖王,人物,与悟空结义的妖界之王，来祝贺悟空销名之事。
六个义兄弟,人物,孙悟空的结拜兄弟，也来祝贺悟空销名。
玉皇大天尊,人物,高天上的圣大慈仁者，玄穹高上帝，即玉皇大帝。
金阙云宫灵霄宝殿,地点,玉皇大帝的宫殿。
邱弘济真人,人物,天界的一位真人，向玉皇大帝启奏。
东海龙王敖广,人物,东海的龙王，因孙悟空的骚扰而向玉皇大帝启奏。
花果山,地点,孙悟空的居所，位于东胜神洲。
水帘洞,地点,孙悟空的洞府，位于花果山。
南海龙,人物,受到孙悟空惊吓的龙王之一。
西海龙,人物,受到孙悟空惊吓的龙王之一。
北海龙,人物,受到孙悟空惊吓的龙王之一，最终归降。
葛仙翁天师,人物,向玉皇大帝启奏冥司情况的官员。
冥司秦广王,人物,幽冥界的王，赍奉地藏王菩萨的表文。
太宗,人物,这里指玉皇大帝，神话传说中的天庭最高统治者，人物形象象征着至高无上的权力和尊贵。
秦广王,人物,地府中的一个阎王，管理着亡灵投胎转世的事宜，是阴间的官员之一。
大天尊,人物,对玉皇大帝的尊称，显示了其在神话传说中的崇高地位。
千里眼,人物,神话传说中的神仙，能够看得极远，通常和顺风耳一起出现，担任玉皇大帝的侦查官。
顺风耳,人物,神话传说中的神仙，能够听到极远的声音，和千里眼一起担任玉皇大帝的侦查官。
太白长庚星,人物,即太白金星，是天文学中金星的别称，在神话中是一位文雅和祥的神祇，常常担任玉皇大帝的使者。
文曲星官,人物,神话中的星宿神，掌管文运和学识，这里指负责起草诏书的官员。
美猴王,人物,即孙悟空，古典名著《西游记》中的主要人物，具有高强的武艺和神通。
悟空,人物,孙悟空的简称，指同一人物。
四健将,人物,孙悟空在花果山的水帘洞中的四位副手，具体名字不详，但忠诚于孙悟空。
增长天王,人物,神话传说中的四大天王之一，手持宝剑，负责维护天界的治安。
庞、刘、苟、毕、邓、辛、张、陶,人物,一群天兵天将的名字，他们阻挡孙悟空进入南天门。
花果山水帘洞,地点,孙悟空的居所，位于花果山，是一个神秘美丽的洞府，也是孙悟空领导猴子们的地方。
南天门,地点,神话传说中天庭的入口，由天兵天将把守，威严壮观。
地府,地点,阴间世界，亡灵投胎转世的地方，由阎王等神祇管理。
太白金星,人物,太白金星是道教神祇之一，掌管文运和考试，此处引领美猴王进入天宫。
美猴王,人物,美猴王即孙悟空，是《西游记》中的主要人物，具有高强的武艺和神通，此处初次进入天宫。
灵霄殿,地点,灵霄殿是天宫中重要的宫殿之一，玉帝在此接见众神。
金星,人物,指太白金星，此处特指其向玉帝启奏。
玉帝,人物,玉帝是中国神话中的天帝，此处是他对孙悟空的任命和赦免其无礼行为。
孙悟空,人物,孙悟空是《西游记》中的主角之一，此处被玉帝任命为‘弼马温’。
武曲星君,人物,武曲星君是道教神祇之一，掌管武运，此处建议玉帝任命孙悟空为弼马温。
木德星君,人物,木德星君是道教神祇之一，掌管木德，此处被玉帝差遣送孙悟空到任。
御马监,地点,御马监是天宫中管理天马的地方，孙悟空被任命为正堂管事。
花果山,地点,花果山是孙悟空的出生地，他在那里称王称祖。
猴王,人物,猴王，即孙悟空，花果山的领袖，具有高强的武艺和神通，因不满天界安排的职位而反下天宫。
四健将,人物,猴王的四位得力助手，花果山上的将领。
各洞妖王,人物,花果山上其他洞府的妖王，他们各自拥有自己的兵卒。
独角鬼王,人物,两位鬼王，他们带着礼物前来拜访猴王，后成为猴王的前部总督先锋。
张天师,人物,天宫中的官员，负责引导御马监监丞和监副向玉帝奏报。
御马监监丞,人物,天宫中管理御马监的高级官员。
监副,人物,御马监中的副官。
增长天王,人物,南天门外的天将，率领天丁向玉帝报告猴王逃离天宫的消息。
托塔李天王,人物,天宫中的高级将领，被玉帝封为降魔大元帅。
哪吒三太子,人物,天宫中的将领，被玉帝封为三坛海会大神。
巨灵神,人物,托塔李天王部下的先锋，被派遣到花果山收伏猴王。
鱼肚将,人物,李天王旗下的将领之一。
药叉将,人物,李天王旗下的将领之一。
花果山,地点,猴王等妖怪的居所，位于云端之上，有着美丽的景色和天然的屏障。
南天门,地点,天宫的门户之一，通往外界。
水帘洞,地点,猴王的居所，位于花果山中。
灵霄宝殿,地点,天宫中的主要殿堂，玉帝的居所。
如意棒,人物,孙悟空的武器，可以变化大小和数量，具有极大的威力。
宣花斧,人物,哪吒的武器之一，斧头号为宣花，在与孙悟空的战斗中曾被孙悟空打断。
巨灵神,人物,天神之一，名望传天下，但在与孙悟空的战斗中不敌，被劈头一棒打退。
猴王,人物,孙悟空的别称，具有高强的武艺和神通，自称齐天大圣。
哪吒,人物,托塔天王的三太子，奉玉帝钦差捉拿孙悟空，具有变化多端的神通和武器。
玉皇,人物,天宫的主宰，哪吒受其钦差下界捉拿孙悟空。
齐天大圣,人物,孙悟空的封号，旌旗上所写，象征着其地位和力量。
李天王,人物,哪吒的父亲，天宫中的高级将领，见到儿子战败后大惊，计划回天庭请求增援。
弼马温,人物,孙悟空在天宫曾被封为弼马温，后因不满而反出天庭。
天丁,人物,天宫中的兵将，在孙悟空与哪吒的战斗中呐喊助威。
各洞妖王,人物,其他妖界的王，看到孙悟空与哪吒的战斗后都感到害怕，闭户不出。
遍山鬼怪,人物,山中的鬼怪，因孙悟空与哪吒的战斗而藏头缩尾。
海会,地点,孙悟空受玉皇敕封为三坛海会大神的地方。
灵霄宝殿,地点,天宫中的核心宫殿，孙悟空曾威胁要打上灵霄宝殿。
猴王,人物,孙悟空，自称齐天大圣，具有神通广大的能力，曾与天庭众将交战。
七十二洞妖王,人物,众多妖王的统称，前来祝贺猴王胜利。
六弟兄,人物,牛魔王、蛟魔王、鹏魔王、狮犭它王、猕猴王、犭狨王，各自自称大圣，与猴王结拜。
牛魔王,人物,自称平天大圣，猴王的结拜兄弟之一。
蛟魔王,人物,自称覆海大圣，猴王的结拜兄弟之一。
鹏魔王,人物,自称混天大圣，猴王的结拜兄弟之一。
狮犭它王,人物,自称移山大圣，猴王的结拜兄弟之一。
猕猴王,人物,自称通风大圣，猴王的结拜兄弟之一。
犭狨王,人物,自称驱神大圣，猴王的结拜兄弟之一。
李天王,人物,天庭将领，领兵下界收伏孙悟空。
三太子,人物,李天王的儿子，参与收伏孙悟空的行动。
玉帝,人物,天庭的最高统治者，对孙悟空的行为表示惊讶，并最终决定授予其齐天大圣的官职。
太白金星,人物,天庭文官，提出招安孙悟空的建议，并多次作为使者前往花果山水帘洞。
孙悟空,人物,齐天大圣，因不满天庭的官职而自立旗号，后接受玉帝的招安。
花果山水帘洞,地点,孙悟空的居所，位于洞天福地，有众多妖精追随。
南天门,地点,天庭的入口之一，太白金星多次从此处出入。
灵霄殿,地点,天庭的主要宫殿，玉帝在此处理政务。
齐天大圣府,地点,玉帝为孙悟空在蟠桃园右侧设立的府邸。
齐天大圣,人物,齐天大圣孙悟空，传说中的妖猴，后被封为齐天大圣，活跃于天宫，具有变化无穷的能力。
齐天府,地点,齐天大圣所属的府邸，位于天宫中，有二司仙吏早晚扶侍。
三清,人物,道教中三位至高无上的神祇，常被尊称为“老”。
四帝,人物,天宫中的四位帝王神祇，被尊称为“陛下”。
九曜星,人物,天宫中的九位星君。
五方将,人物,天宫中的五位将领。
二十八宿,人物,天宫中的二十八位星宿神。
四大天王,人物,佛教中的四位守护天王。
十二元辰,人物,道教中的十二位元辰神。
五方五老,人物,道教中的五位高级神祇。
普天星相,人物,天宫中的众多星君和星相神。
河汉群神,人物,指银河中的众多神仙。
玉帝,人物,天宫的最高统治者，被称为“陛下”。
许旌阳真人,人物,天宫中的真人，向玉帝启奏有关齐天大圣的情况。
蟠桃园,地点,位于天宫中，由齐天大圣管理，其中有三千六百株蟠桃树。
土地,人物,蟠桃园的土地神，向七衣仙女说明蟠桃园的情况。
王母娘娘,人物,天宫中的女神，举办蟠桃胜会。
红衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃。
素衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃。
青衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃，并且发现了变成人儿的大圣。
皂衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃。
紫衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃。
黄衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃。
绿衣仙女,人物,王母娘娘派遣的七衣仙女之一，负责摘取蟠桃。
七衣仙女,人物,王母娘娘派遣的七位仙女，负责摘取蟠桃并举办蟠桃胜会。
赤脚大罗仙,人物,一位参加蟠桃添寿节的仙人，被孙悟空哄骗。
大圣,人物,孙悟空，具有神通，偷吃蟠桃和金丹，因担心被玉帝发现而逃回花果山。
王母,人物,天宫中的女神，举办蟠桃嘉会。
玉帝,人物,天宫的主宰，因孙悟空偷吃仙品而可能降罪于他。
老君,人物,太上老君，居住在兜率宫，炼制金丹。
燃灯古佛,人物,在三层高阁朱陵丹台上讲道的佛祖。
四健将,人物,花果山界的四位将领，迎接孙悟空回山。
七十二洞妖王,人物,在花果山界与四健将一起演习武艺的妖怪们。
兜率天宫,地点,太上老君居住的地方，位于三十三天之上。
通明殿,地点,仙人演礼的地方。
瑶池,地点,王母举办蟠桃嘉会的地方。
花果山,地点,孙悟空的居所，有着许多仙桃和其他奇珍异果。
齐天府,地点,孙悟空在天宫中被封的官职所在地。
七衣仙女,人物,被大圣定身法术困住的仙女，向王母回奏蟠桃一事。
大圣,人物,齐天大圣孙悟空，使用法术困住仙女，偷吃蟠桃，搅乱天宫。
王母,人物,天宫中的女神，掌管蟠桃大会，询问仙女蟠桃的情况。
玉帝,人物,天宫之主，听取各路神仙的奏报，对大圣的行为感到恼怒，并派遣天兵捉拿大圣。
造酒的一班人,人物,在天宫中负责造酒，向玉帝奏报蟠桃大会被搅乱的情况。
四个大天师,人物,向玉帝奏报太上道祖的到来。
太上道祖,人物,老君，炼制了九转金丹，被贼偷走。
齐天府仙吏,人物,向玉帝报告孙大圣失踪的情况。
赤脚大仙,人物,被大圣以假传旨意的手段误导，向玉帝奏报情况。
纠察灵官,人物,领旨寻找大圣的踪迹，并向玉帝回奏。
四大天王,人物,被玉帝差遣协同其他神仙围困大圣。
李天王,人物,在天兵中担任指挥，布阵围困花果山。
哪吒太子,人物,协助李天王围困大圣的将领之一。
二十八宿,人物,被派遣去围困大圣的天兵之一。
九曜星官,人物,被派遣去围困大圣的天兵之一，率先出战。
十二元辰,人物,被派遣去围困大圣的天兵之一。
五方揭谛,人物,被派遣去围困大圣的天兵之一。
四值功曹,人物,被派遣去围困大圣的天兵之一。
东西星斗,人物,被派遣去围困大圣的天兵之一。
南北二神,人物,被派遣去围困大圣的天兵之一。
五岳四渎,人物,被派遣去围困大圣的天兵之一。
普天星相,人物,被派遣去围困大圣的天兵之一。
花果山,地点,大圣的居所，被天兵围困。
通明殿,地点,大圣声称玉帝旨意要仙女前往的地点。
大圣,人物,大圣，即孙悟空，是《西游记》中的主要人物，具有丰富的神通和变化能力，机智勇敢，善于战斗。
七十二洞妖王,人物,七十二洞妖王是《西游记》中的群体角色，各自拥有不同的法力和神通，臣服于大圣。
四健将,人物,四健将是《西游记》中大圣的部下，忠诚勇敢，跟随大圣参与多次战斗。
小妖,人物,小妖是《西游记》中妖界的低级别成员，通常担任报信和战斗的角色。
九个凶神,人物,九个凶神是《西游记》中的角色，具体指九曜恶星，他们奉玉帝之命前来捉拿大圣。
独角鬼王,人物,独角鬼王是《西游记》中的一位妖王，具有领导能力，率领妖兵与大圣一同对抗天神。
九曜星,人物,九曜星是《西游记》中的天神，代表玉帝前来捉拿大圣，具有强大的法力。
玉帝,人物,玉帝是《西游记》中的天庭之主，具有至高无上的权力，命令九曜星捉拿大圣。
四大天王,人物,四大天王是《西游记》中的天神，担任天庭的守护者，参与对抗大圣的战斗。
二十八宿,人物,二十八宿是《西游记》中的天神，按星宿命名，参与捉拿大圣的战斗。
李天王,人物,李天王是《西游记》中的天神，掌管四大天王，亲自出马对抗大圣。
哪吒太子,人物,哪吒太子是《西游记》中的著名天神，李天王的儿子，具有强大的战斗能力。
水帘洞,地点,水帘洞是《西游记》中大圣的居所，位于花果山，是一处神秘美丽的洞府。
铁板桥头,地点,铁板桥头是《西游记》中描述的战场之一，大圣与天神在此展开激烈战斗。
四大天王,人物,四大天王是佛教中的护法天神，此处指代天庭中的四位天王，他们在故事中负责收兵罢战，并围困花果山。
虎豹,人物,被众各报功时所捉的动物之一，象征勇猛。
狮象,人物,被众各报功时所捉的动物之一，象征力量。
狼虫狐骆,人物,被众各报功时所捉的动物组合，代表各种山林中的精怪。
猴精,人物,指代故事中的主角孙悟空，及其所带领的猴子族群。
花果山,地点,孙悟空的出生地，故事中妖猴作乱的地方，被天兵天将围困。
南海普陀落伽山,地点,观音菩萨的道场，位于南海之中。
宝阁瑶池,地点,传说中天庭的宴会场所，故事中蟠桃大会的举办地。
通明殿,地点,天庭中的宫殿，玉帝在此接见来宾。
灵霄宝殿,地点,天庭中的宫殿，太上老君和王母娘娘在此。
东胜神洲傲来国,地点,孙悟空的来源地，花果山所在的国家。
斗府,地点,可能指的是天庭中的星官府邸。
天宫,地点,神仙居住的地方，故事中孙悟空反叛的地点。
蟠桃园,地点,天宫中种植蟠桃的地方，孙悟空曾代管。
观音菩萨,人物,佛教中的大慈大悲救苦救难灵感观世音菩萨，故事中指导惠岸行者去打探军情。
玉帝,人物,天庭的统治者，故事中叙述了妖猴作乱的情况。
太上老君,人物,道教中的最高神祇之一，故事中在灵霄宝殿中。
王母娘娘,人物,道教中的女神，蟠桃大会的主办者。
长庚星,人物,可能是指金星，故事中建议玉帝教育孙悟空。
弼马温官,人物,孙悟空在天宫中所封的官职。
李天王,人物,天庭中的武神，率领天兵天将捉拿孙悟空。
哪吒太子,人物,李天王的儿子，助战捉拿孙悟空。
齐天大圣,人物,孙悟空的封号，象征其地位和能力。
惠岸行者,人物,观音菩萨的大徒弟，受命下凡打探军情。
虚日鼠,人物,天庭中的神将，传递消息。
昴日鸡,人物,天庭中的神将，传递消息。
星日马,人物,天庭中的神将，传递消息。
房日兔,人物,天庭中的神将，传递消息。
木叉,人物,李天王的二太子，即惠岸行者的化身。
好太子,人物,李天王的第二太子，法名惠岸，观音菩萨的徒弟，护教弟子。
齐天大圣,人物,孙悟空，花果山水帘洞的主人，拥有如意棒，具有广大神通。
木叉,人物,李天王的第二太子，法名惠岸，前来擒拿齐天大圣。
李天王,人物,天界的李天王，有多个太子，其中包括木叉和好太子。
观音菩萨,人物,佛教菩萨，木叉的师父，居住在南海。
玉帝,人物,天界的主宰，接到求助后派二郎真君前去捉拿齐天大圣。
二郎真君,人物,玉帝的外甥，居住在灌洲灌江口，曾力诛六怪，拥有梅山兄弟和草头神。
梅山六兄弟,人物,康、张、姚、李四太尉，郭申、直健二将军，二郎真君的兄弟，一起前往花果山捉拿妖猴。
花果山,地点,齐天大圣孙悟空的居所，水帘洞所在地。
南海,地点,观音菩萨修行的地方。
通明殿,地点,天界宫殿，四大天师所在之地。
灵霄宝殿,地点,天界的宝殿，玉帝处理事务的地方。
灌洲灌江口,地点,二郎真君的居所。
东洋大海,地点,梅山六兄弟前往花果山时经过的海域。
心高,人物,文中未具体描述，但根据上下文推测可能是一位性格傲慢的人物。
玉帝外甥,人物,指二郎神，又称昭惠灵王二郎，神祇，具有高强的法力和神通。
大圣,人物,孙悟空，又称齐天大圣，石猴化身，具有丰富的变化和高超的法力。
真君,人物,二郎神，玉帝的外甥，法力高强，以神锋为武器，善于变化。
康、张、姚、李,人物,四大天王，天宫的神将，协助二郎神捉拿孙悟空。
郭申、直健,人物,两位将军，二郎神的部下，参与捉拿孙悟空的行动。
水帘洞,地点,孙悟空的居所，位于花果山上，是一个神秘的山洞。
华山顶上之峰,地点,华山的顶峰，此处用来比喻二郎神变化后的高大威猛。
昆仑顶上擎天之柱,地点,昆仑山的顶峰，此处用来比喻孙悟空变化后的高大威猛。
土地庙儿,地点,孙悟空变化而成的庙宇，用来迷惑二郎神。
真君,人物,二郎神，又称二郎真君，是道教中的神祇，具有高强的法力和神通，掌管捉拿妖魔鬼怪。本文中，他带领部下捉拿孙悟空。
四太尉,人物,真君的手下，参与捉拿孙悟空的行动。
二将军,人物,真君的手下，参与捉拿孙悟空的行动。
大圣,人物,孙悟空，又称齐天大圣，是《西游记》中的主要人物，具有丰富的变化和高强的武艺。
李天王,人物,李靖，道教中的神祇，掌管天界的兵马，是捉拿孙悟空的重要人物之一。
哪吒,人物,李天王之子，道教中的神祇，以勇猛著称，参与捉拿孙悟空的行动。
玉帝,人物,道教中的最高神祇，天界的统治者，对孙悟空的行为作出裁决。
观音菩萨,人物,佛教中的菩萨，具有慈悲心肠和高强的法力，提出帮助捉拿孙悟空。
王母,人物,道教中的女神祇，天界的尊贵人物，参与讨论孙悟空的问题。
老君,人物,道教中的神祇，太上老君，具有高深的道行，提供金钢琢帮助捉拿孙悟空。
康、张、姚、李,人物,真君的手下，参与捉拿孙悟空的行动。
灌江口,地点,孙悟空与二郎神战斗的地点之一，也是真君的居所。
花果山,地点,孙悟空的居所，是他与二郎神等众神战斗的地点。
灵霄殿,地点,天界的宫殿，玉帝与众神讨论事情的地方。
南天门,地点,天界的大门，玉帝与众神观看孙悟空与二郎神战斗的地方。
斩妖台,地点,天界用于处决妖魔鬼怪的地方，孙悟空被捉后将被带到这里。
齐天大圣,人物,齐天大圣孙悟空，传说中的神话人物，拥有丰富的神通和变化能力，曾大闹天宫，后被佛祖如来压在五行山下。
众天兵,人物,天宫中的兵将，奉命捉拿齐天大圣。
斩妖台,地点,天宫中用于斩妖的刑场。
降妖柱,地点,用于绑缚妖怪的柱子，位于斩妖台下。
南斗星,人物,南斗星君，天宫中的星宿神，掌管火部众神。
火部众神,人物,属于南斗星君下辖的火神部队。
雷部众神,人物,天宫中掌管雷霆的神祇。
大力鬼王,人物,天宫中的鬼王，力量巨大。
玉帝,人物,中国神话中的天帝，众神之首。
太上老君,人物,道教中的三清之一，炼丹高手，拥有八卦炉。
八卦炉,地点,太上老君的炼丹炉，具有煅烧仙丹的功能。
兜率宫,地点,太上老君的居所。
巽宫,地点,八卦炉中的一个方位，巽代表风。
二郎显圣,人物,二郎神，传说中的神祇，具有显圣的能力。
灌江口,地点,二郎神的居所。
看炉的道人,人物,在八卦炉旁照看炉火的道士。
架火的童子,人物,在八卦炉旁负责架火的童子。
六丁、六甲,人物,天宫中的神将，负责执行玉帝的命令。
真君,人物,对某些高级神祇的尊称，此处指二郎神。
灵霄宝殿,地点,天宫中的主殿。
斗牛宫,地点,天宫中的一个宫殿。
玄圣界,地点,可能指代某个神圣的境界或领域。
佑圣真君,人物,天宫中的真君，具有护佑圣驾的能力。
雷府,地点,掌管雷霆的府邸。
三十六员雷将,人物,雷府中的将领，共有三十六位。
如来,人物,佛教中的佛祖，具有无上的法力。
灵山胜境,地点,如来居住的圣地。
雷音宝刹,地点,灵山胜境中的寺庙。
四金刚,人物,佛教中的四位护法金刚。
八菩萨,人物,佛教中的八大菩萨。
宝莲台,地点,如来讲经说法的地方。
王灵官,人物,佑圣真君的佐使，具有强大的战斗力。
花果山,地点,齐天大圣的出生地，位于人间。
李天王,人物,天宫中的天王，奉命捉拿齐天大圣。
哪吒太子,人物,李天王的儿子，具有强大的神力。
蟠桃园,地点,天宫中种植蟠桃的地方。
瑶池,地点,天宫中的宴会场所。
兜率宫,地点,太上老君的宫殿，内有仙丹。
五行山,地点,齐天大圣被如来佛祖压住的地方。
如来,人物,佛教创始人，被称为佛祖，具有高深法力和智慧，主持西方极乐世界。
阿傩,人物,佛教尊者，如来的弟子之一，随如来行事。
迦叶,人物,佛教尊者，如来的弟子之一，随如来行事。
雷音,地点,佛教传说中的雷音寺，是如来讲法的地方。
灵霄门,地点,神话传说中天宫的门户之一。
大圣,人物,孙悟空的尊称，具有七十二变的变化能力和筋斗云，曾反叛天宫，后被如来收服。
西方极乐世界,地点,佛教传说中的理想境界，由如来主持。
释迦牟尼尊者,人物,即如来的另一个称呼。
灵霄宝殿,地点,神话中的天宫主殿，为玉帝所居。
玉皇上帝,人物,神话传说中的天宫最高统治者，即玉帝。
猴子成精,人物,指孙悟空，由猴子修炼成精，具有神通广大。
玉帝,人物,天宫的统治者，具有高贵的地位和无上的权力。
